"suburb","postcode","state","lat","lng"
"Bomaderry","2541","NSW","-34.84763","150.60473"
"Bombah Point","2423","NSW","-32.49551","152.27131"
"Bombala","2632","NSW","-36.88991","149.24766"
"Bombay","2622","NSW","-35.42557","149.64638"
"Bombira","2850","NSW","-32.57185","149.60474"
"Bombo","2533","NSW","-34.65524","150.85326"
"Bombowlee","2720","NSW","-35.26238","148.24301"
"Bombowlee Creek","2720","NSW","-35.27409","148.30789"
"Bomen","2650","NSW","-35.0615","147.43239"
"Bomera","2357","NSW","-31.5136","149.7789"
"Bonalbo","2469","NSW","-28.71767","152.61894"
"Bondi","2026","NSW","-33.89314","151.26703"
"Bondi Beach","2026","NSW","-33.89095","151.27247"
"Bondi Forest","2632","NSW","-37.15203","149.19066"
"Bondi Junction","2022","NSW","-33.89296","151.2503"
"Bonnells Bay","2264","NSW","-33.10973","151.52379"
"Bonnet Bay","2226","NSW","-34.01049","151.054"
"Bonny Hills","2445","NSW","-31.57442","152.81764"
"Bonnyrigg","2177","NSW","-33.89333","150.88877"
"Bonnyrigg Heights","2177","NSW","-33.89103","150.87006"
"Bonshaw","2361","NSW","-29.04782","151.23104"
"Bonville","2450","NSW","-30.37794","153.01962"
"Booerie Creek","2480","NSW","-28.7767","153.25316"
"Book Book","2650","NSW","-35.32396","147.55333"
"Booker Bay","2257","NSW","-33.51258","151.34636"
"Bookham","2582","NSW","-34.84355","148.62656"
"Bookookoorara","2372","NSW","-28.73134","152.11655"
"Bookram","2460","NSW","-29.71867","153.24471"
"Boolambayte","2423","NSW","-32.39935","152.27506"
"Boolaroo","2284","NSW","-32.94655","151.62591"
"Boolcarroll","2388","NSW","-30.0472","149.42576"
"Booligal","2711","NSW","-33.7322","144.68326"
"Boolijah","2540","NSW","-35.05882","150.33073"
"Boomanoomana","2712","NSW","-35.88667","145.8499"
"Boomerang Beach","2428","NSW","-32.34089","152.53412"
"Boomey","2866","NSW","-32.96794","148.96012"
"Boomi","2405","NSW","-28.70938","149.63725"
"Boomi Creek","2476","NSW","-28.47865","152.59606"
"Boona Mount","2877","NSW","-32.62937","147.25632"
"Boonal","2409","NSW","-28.75948","150.54044"
"Boonoo Boonoo","2372","NSW","-28.88359","152.10331"
"Boorabee Park","2480","NSW","-28.68151","153.05528"
"Booragul","2284","NSW","-32.97442","151.61056"
"Booral","2425","NSW","-32.46349","151.97965"
"Boorga","2652","NSW","-34.02099","146.01821"
"Boorganna","2429","NSW","-31.62164","152.37042"
"Boorolong","2350","NSW","-30.35699","151.45893"
"Boorook","2372","NSW","-28.79856","152.27425"
"Boorooma","2650","NSW","-35.07222","147.36883"
"Booroorban","2710","NSW","-34.85605","144.73698"
"Boorowa","2586","NSW","-34.36158","148.74651"
"Bootawa","2430","NSW","-31.92259","152.35692"
"Booti Booti","2428","NSW","-32.31727","152.52232"
"Booyong","2480","NSW","-28.74895","153.4472"
"Bora Ridge","2471","NSW","-29.07919","153.19411"
"Borah Creek","2346","NSW","-30.60361","150.51526"
"Borambola","2650","NSW","-35.15406","147.69232"
"Border Ranges","2474","NSW","-28.39276","153.0735"
"Boree","2800","NSW","-33.25073","148.84248"
"Boree Creek","2652","NSW","-35.06921","146.52341"
"Borenore","2800","NSW","-33.23058","148.95297"
"Boro","2622","NSW","-35.19885","149.70166"
"Bossley Park","2176","NSW","-33.86202","150.88392"
"Bostobrick","2453","NSW","-30.27688","152.6016"
"Botany","2019","NSW","-33.94907","151.19881"
"Botobolar","2850","NSW","-32.52243","149.80183"
"Bottle Creek","2469","NSW","-28.78891","152.65119"
"Bouddi","2251","NSW","-33.51695","151.40373"
"Bourbah","2828","NSW","-31.24838","148.16063"
"Bourke","2840","NSW","-30.19225","145.99276"
"Bourkelands","2650","NSW","-35.15628","147.34792"
"Bournda","2548","NSW","-36.8114","149.88941"
"Bournewood","2868","NSW","-32.75386","148.76674"
"Bow Bowing","2566","NSW","-34.01729","150.84136"
