"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize"
"1630000","2021-12-04","2/1A Cedar Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","undefined","undefined","undefined","SemiDetached","0"
"2350000","2021-10-04","24 Bullimah Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","6","3","3","House","567"
"1700000","2021-09-20","40E Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","3","House","861"
"1171000","2021-09-12","1/22 Mount Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","Duplex","0"
"1360000","2021-09-14","6 Chloe Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","3","House","1136"
"2275000","2021-09-02","22 Djerral Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","670"
"950000","2021-09-02","57 Sky Royal Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","1090"
"1800000","2021-08-20","28 Diana Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","2","House","574"
"885000","2021-09-05","83 Harrier Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","400"
"965000","2021-08-24","24 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","1","2","House","1510"
"2000000","2021-09-06","14 Rudd Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","1","House","405"
"1755000","2021-09-05","17 East Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","3","House","562"
"2000000","2021-09-10","61 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","1027"
"3300000","2021-09-13","119 George Street West BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","5","House","516"
"780000","2021-09-15","7 Tillys Place BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","362"
"2370000","2021-09-25","8 Bullimah Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","1","1","House","549"
"1400000","2021-09-24","161 Ocean Parade BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","0"
"940000","2021-09-15","9 Marlee Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","4","House","677"
"880000","2021-09-26","8/32 East Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","1","House","157"
"1560000","2021-09-21","2/18 Burleigh Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","Duplex","0"
"1700000","2021-09-13","37 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","undefined","House","0"
"1400000","2021-08-18","2/10 Ferny Fairway BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","1","SemiDetached","195"
